Enrichment FDR,nGenes,Pathway Genes,Fold Enrichment,Pathway,URL,Genes
7.39E-07,23,92,3.858427362,Organellar ribosome , http://amigo.geneontology.org/amigo/term/GO:0000313, Mrpl2  Mrpl4  Mrpl58  Mrps24  Mrpl22  Mrpl38  Mrps30  Mrpl14  Mrps18b  Mrpl21  Mrps5  Mrpl9  Mrpl19  Mrps22  Mrpl55  Mrpl47  Mrps26  Mtg1  Mtg2  Mrps28  Mrpl35  Mrps9  Dap3
7.39E-07,23,92,3.858427362,Mitochondrial ribosome , http://amigo.geneontology.org/amigo/term/GO:0005761, Mrpl2  Mrpl4  Mrpl58  Mrps24  Mrpl22  Mrpl38  Mrps30  Mrpl14  Mrps18b  Mrpl21  Mrps5  Mrpl9  Mrpl19  Mrps22  Mrpl55  Mrpl47  Mrps26  Mtg1  Mtg2  Mrps28  Mrpl35  Mrps9  Dap3
1.70E-08,31,129,3.708875914,Late endosome membrane , http://amigo.geneontology.org/amigo/term/GO:0031902, Stard3nl  Clcn3  Mcoln1  Slc30a4  Snf8  Ubxn6  Slc39a14  Laptm4b  Npc1  Rab27b  Vti1a  Abhd6  Hgs  Snx16  Chmp4c  Osbpl9  Rragc  Tmem165  Tmem106b  Lamtor1  Mvb12a  Pip4p1  Rnf13  Atp13a2  Tspan15  Chmp4b  Mvb12b  Yipf1  Vps37b  Ap5s1  Rab7
8.90E-08,45,259,2.68153253,Late endosome , http://amigo.geneontology.org/amigo/term/GO:0005770, Stard3nl  Clcn3  Mcoln1  Slc30a4  Snf8  Sqstm1  Ubxn6  Vta1  Stx7  Lgmn  Slc39a14  Laptm4b  Washc1  Npc1  Rab27b  Vti1a  Abhd6  Tmem192  Hgs  Snx16  Chmp4c  Chmp5  Osbpl9  Rragc  Tmem165  Tmem106b  Ccz1  Lamtor1  Mvb12a  Wdr48  Grn  Pip4p1  Rnf13  Atp13a2  Tspan15  Gnpnat1  Chmp4b  Mvb12b  Magi2  Osbpl1a  Yipf1  Slc31a2  Vps37b  Ap5s1  Rab7
9.53E-07,40,236,2.615882958,Ribosome , http://amigo.geneontology.org/amigo/term/GO:0005840, Mrpl2  Mrpl4  Mrpl58  Mrps24  Mrpl22  Mrpl38  Btf3  Mrps30  Apod  Mrpl14  Mrps18b  Mrpl21  Rplp2  Rpl14  Eif2d  Mrps5  Eif2a  Mrpl9  Rps6  Mrpl19  Rsl24d1  Mrps22  Nck1  Mrpl55  Larp1  Mrpl47  Mrps26  Mtg1  Mtg2  Mrps28  Rpl37a  Mrpl35  Kxd1  Rpl18  Mrps9  Rps15  Rps28  Dap3  Rps27  Rpl41
9.53E-07,43,264,2.513823888,Mitochondrial protein-containing complex , http://amigo.geneontology.org/amigo/term/GO:0098798, Mrpl2  Mrpl4  Bax  Phb2  Tomm40l  Atp5g1  Pdk1  Sdhb  Mrpl58  Supv3l1  Timm13  Vdac1  Mrps24  Mrpl22  Mrpl38  Timm22  Mrps30  Mrpl14  Mrps18b  Mrpl21  Ndufa8  Mrps5  Mcub  Mrpl9  Pmpcb  Agk  Mrpl19  Chchd6  Slc25a4  Mrps22  AA467197  Mrpl55  Mrpl47  Mrps26  Mrps28  Mrpl35  Chchd3  Immp2l  Uqcr10  Mrps9  Mtx1  Dap3  Tomm20
7.55E-08,54,341,2.444047831,Mitochondrial matrix , http://amigo.geneontology.org/amigo/term/GO:0005759, Top1mt  Poldip2  Myg1  Clpp  Mrpl2  Timm44  Mrpl4  Mettl17  Pdk1  C1qbp  Mrpl58  Supv3l1  Vdac1  Mrps24  Mrpl22  Mrpl38  Eral1  Fars2  Dimt1  Mrps30  Mrpl14  Eci1  Mrps18b  Ak3  Mrpl21  Shmt2  Mrps5  Hadh  Mrpl9  Rars2  Park7  Pmpcb  Atad3a  Mrpl19  Cbr4  Rexo2  Fdx1  Mrps22  Mrpl55  Tfb1m  Mrpl47  Mrps26  Mtg1  Mtg2  Mrps28  Tsfm  Adprs  Tefm  Mrpl35  Sirt5  Mrps9  Dap3  Fdx2  Bloc1s1
8.67E-09,63,402,2.41871566,Endosome membrane , http://amigo.geneontology.org/amigo/term/GO:0010008, Rac1  Stard3nl  Clcn3  Mcoln1  Ndrg1  Slc30a4  Snf8  Vac14  Tmem175  Steap1  Vps53  Ubxn6  Snx3  Vta1  Rab21  Ap3d1  Tom1l1  Slc39a14  Laptm4b  Washc1  Plin3  Npc1  Ndfip1  Rab27b  Ehd1  Vti1a  Abhd6  Hgs  Vamp4  Snx5  Snx16  Chmp4c  Scamp3  Chmp5  Osbpl9  Rragc  Inpp5b  Tmem165  Tmem106b  Gpnmb  Lamtor1  Mvb12a  Gga1  Pip4p1  Rnf13  Atp13a2  Tspan15  Gnpnat1  Snx10  Chmp4b  Mvb12b  Rcc2  Mmgt2  Snx21  Commd1  Ndfip2  Yipf1  Dtnbp1  Vps37b  Ap5s1  Rabepk  Ube2d3  Rab7
1.81E-07,64,451,2.190149456,Mitochondrial inner membrane , http://amigo.geneontology.org/amigo/term/GO:0005743, Oxa1l  Dhrs1  Timm44  Phb2  Atp5g1  Sdhb  Aldh3a2  Slc25a11  Coa3  Slc25a39  Fdxr  Timm13  Vdac1  Eral1  Timm22  Coq6  Mcur1  Slc25a30  Eci1  Aldh18a1  Shmt2  Atp23  Bcs1l  Efhd1  Coq4  Ndufa8  Crls1  Ndufaf5  Hadh  Mcub  Coq3  Stoml2  Pmpcb  Atad3a  Agk  Chchd6  Slc25a14  Slc25a4  Slc27a1  Fdx1  Cyp1a1  Slc25a38  AA467197  Parl  Cox18  Letmd1  Timm8b  Mtg1  Mtg2  Ttc19  Tmem11  Timm8a1  Ndufaf6  Chchd3  Sirt5  Immp2l  Bcl2  Uqcr10  Tmem65  Ptpmt1  Cox7a1  Gpx4  Sco2  Mpv17
1.49E-09,98,734,2.060631507,Mitochondrial envelope , http://amigo.geneontology.org/amigo/term/GO:0005740, Pemt  Oxa1l  Dhrs1  Qtrt1  Timm44  Bax  Fam162a  Phb2  Bid  Tomm40l  Atp5g1  Sdhb  Aldh3a2  Slc25a11  Coa3  Slc25a39  Fdxr  Aifm2  Timm13  Vdac1  Eral1  Timm22  Coq6  Mcur1  Slc25a30  Bnip3l  Cep89  Agpat4  Eci1  Bnip1  Ppp2r2b  Ak3  Bad  Aldh18a1  Abhd6  Shmt2  Atp23  Tmem14a  Bcs1l  Efhd1  Coq4  Dnm1  Ndufa8  Crls1  Ndufaf5  Hadh  Mcub  Coq3  Stoml2  Park7  Pmpcb  Atad3a  Agk  Chchd6  Slc25a14  Slc25a4  Slc27a1  Rexo2  Fdx1  Cyp1a1  Slc25a38  AA467197  Parl  Ccs  Chchd4  Vat1  Cox18  Mgarp  Letmd1  Bri3bp  Chchd5  Rnf144b  Afg1l  Timm8b  Mtg1  Mtg2  Gfer  Cox10  Ttc19  Ikbke  Tmem11  Timm8a1  Ndufaf6  Chchd3  Sirt5  Prelid2  Immp2l  Bcl2  Uqcr10  Tmem65  Ptpmt1  Mtx1  Cox7a1  Gpx4  Bloc1s1  Sco2  Tomm20  Mpv17
2.02E-25,242,1825,2.046552157,Mitochondrion , http://amigo.geneontology.org/amigo/term/GO:0005739, Pemt  Comt  Top1mt  Oxa1l  Poldip2  Myg1  Fbxo7  Dhrs1  Tchp  Clpp  Mrpl2  Qtrt1  Timm44  Pnkp  Mrpl4  As3mt  Bax  Fam162a  Phb2  Bid  Mettl17  Tomm40l  Psmb4  Atp5g1  Pdk1  Sdhb  Aldh3a2  Nit1  Dguok  Slc25a11  Acsf3  Qdpr  Sqstm1  Bola1  Plgrkt  Coa3  Glod4  Aldoc  C1qbp  Slc25a39  Mrpl58  Fdxr  Supv3l1  Aifm2  Timm13  Aldh1l2  Vdac1  Mrps24  Mrpl22  Hs1bp3  Mrpl38  Eral1  Timm22  Coq6  Mcur1  Ripk1  Eci2  Fars2  Ercc6l2  Pcbd2  Dimt1  Mrps30  Comtd1  Oxnad1  Slc25a30  Bnip3l  Ngdn  Myc  Slc25a17  Gtpbp8  Nit2  Cfap91  Cep89  Msrb2  Gps2  Bsg  Agpat4  Mrpl14  Eci1  Bnip1  Mrps18b  Ppp2r2b  Rbfa  Napg  Ak3  Mrpl21  Grk2  Asah2  Bad  Aldh18a1  Abhd6  Acot9  Shmt2  Atp23  Rps6ka6  Tmem14a  Coa5  Bcs1l  Efhd1  Tatdn3  Phyh  Coq4  Ptges2  Dnm1  Mrrf  Ndufa8  Crls1  Mrps5  Bcl2l11  Ndufaf5  Idh3b  Hadh  Mcub  Ppa2  Pex11b  Mrpl9  Rap1gds1  Decr1  Coq3  Rars2  Hsdl2  Stoml2  Echdc2  Yrdc  Mecr  Park7  Pmpcb  Atad3a  Pus1  Gatc  Sdsl  Nt5c3  Agk  Mrpl19  Chchd6  Bcat1  Ogg1  Tnfrsf1a  Uri1  Aldoa  Dgat2  Slc25a14  Car5b  Slc25a4  Cbr4  Gpt2  Slc27a1  Aars  Rexo2  Dcps  Fdx1  Cyp1a1  Gsta4  Mrps22  Nme6  Slc25a38  Abhd5  Nt5m  Ank2  Ybey  Abhd10  AA467197  Parl  Ccs  Chchd4  Grn  Vat1  Nubpl  Cox18  Trmt10b  Cerk  Mrpl55  Tfb1m  Mgarp  Letmd1  Mrpl47  Mrps26  Tgm2  Bri3bp  Chchd5  Mrm3  Rnf144b  Afg1l  Hdhd3  Smurf1  Timm8b  Mtg1  Echdc3  Mtg2  Foxk2  Lap3  Mrps35  Mrps28  Tsfm  Abhd11  Pck2  Mthfd1l  Gfer  Hibch  Nthl1  Metap1d  Cox10  Ttc19  Ikbke  Adprs  Maff  Tmem11  Lyrm2  Tefm  Akap10  Timm8a1  Zadh2  Ndufaf6  Pfdn4  Mrpl35  Ndfip2  Ptrh1  Chchd3  Ech1  Sirt5  Prelid2  Immp2l  Bcl2  Mtfmt  Uqcr10  Mrps9  Acyp2  Tmem65  Ptpmt1  Mtx1  Dap3  Ptrh2  Cox7a1  Pdzd8  Gpx4  Cisd3  Pdf  Fdx2  Bloc1s1  Sco2  Tomm20  Mpv17
