Enrichment FDR,nGenes,Pathway Genes,Fold Enrichment,Pathway,URL,Genes
7.62E-05,15,51,4.539326309,Amino sugar and nucleotide sugar metabolism,http://www.genome.jp/kegg-bin/show_pathway?mmu00520 , Ugp2  Hexb  Pmm1  Gfus  Pmm2  Uap1l1  Pgm2  Gnpda2  Renbp  Fcsk  Nagk  Galt  Amdhd2  Gnpnat1  Gnpda1
0.00890086,10,38,4.061502487,Biosynthesis of nucleotide sugars,http://www.genome.jp/kegg-bin/show_pathway?mmu01250 , Ugp2  Pmm1  Gfus  Pmm2  Uap1l1  Pgm2  Fcsk  Nagk  Galt  Gnpnat1
0.02336827,14,78,2.770152978,Biosynthesis of amino acids,http://www.genome.jp/kegg-bin/show_pathway?mmu01230 , Aldoc  Pfkp  Pycrl  Acy1  Aldh18a1  Got1  Shmt2  Rpe  Idh3b  Cth  Sdsl  Bcat1  Aldoa  Gpt2
0.00890086,22,140,2.425297199,Autophagy,http://www.genome.jp/kegg-bin/show_pathway?mmu04140 , Ppp2cb  Akt1s1  Sqstm1  Vmp1  Gabarap  Atg3  Bad  Atg4b  Supt20  Rragd  Rragc  Wipi2  Atg7  Rab39b  Igbp1  Pik3r2  Gabarapl2  Mras  Atg5  Rras2  Bcl2  Rab7
0.016802648,20,130,2.374416838,Ribosome,http://www.genome.jp/kegg-bin/show_pathway?mmu03010 , Mrpl2  Mrpl4  Mrpl22  Mrpl14  Mrpl21  Rplp2  Rpl14  Mrps5  Mrpl9  Rps6  Mrpl19  Rsl24d1  Rpl37a  Mrpl35  Rpl18  Mrps9  Rps15  Rps28  Rps27  Rpl41
3.57E-05,156,1597,1.507613447,Metabolic pathways,http://www.genome.jp/kegg-bin/show_pathway?mmu01100 , Pemt  Comt  Ugp2  Acp2  Sgsh  Atp5g1  Atp6v1b2  Sdhb  Aldh3a2  Apip  Atp6v0d1  Pigl  Dguok  Acsf3  Mocs2  Qdpr  Aldoc  Afmid  Pcbd1  Aldh1l2  Nampt  Pfkp  Coq6  Auh  Pcbd2  Ptdss1  Hexb  Cryl1  Esd  Cmbl  Atp6v1c1  Pmm1  Gfus  Pycrl  Pmm2  Nit2  B4galt4  Acy1  Pigx  Agpat4  Pde10a  Atp6v1g2  Chka  Asah2  Aldh18a1  Gsto1  Gsto2  Got1  Adpgk  Shmt2  Pip4k2c  Inpp5a  Ptdss2  Pde8a  Hprt  Rpe  Pde6d  Smyd2  Aldh9a1  Ptges2  Ndufa8  Inpp5e  Uap1l1  Crls1  Hdc  Idh3b  Car13  Pld1  Hadh  Gba  Cth  Coq3  Fktn  Hacd4  Txndc12  Urod  Pla2g2e  Cda  Inpp5b  Mecr  Car6  Rbks  Pgm2  Gnpda2  Paics  Gpat3  Psph  Gatc  Sdsl  Cyp3a13  Nt5c3  Agk  Bcat1  Pde3b  Aldoa  Dgat2  Acer3  Car5b  Renbp  Asah1  Galnt7  Cbr4  Gpt2  Ntpcr  Glce  Cyp1a1  Gsta4  Nme6  Nt5m  Fcsk  Plcg2  Nagk  Galm  Grhpr  Cerk  Galt  Mgat4b  Alg5  Amdhd2  Pafah2  Gch1  Gnpnat1  Hexdc  Alg1  Lap3  Pck2  Mthfd1l  Hibch  Pigs  Cox10  Hsd3b7  Acp1  Glb1  Ptgs1  Kmt5a  B3galt6  Sgms2  B3gnt2  Gnpda1  Sirt5  Adh7  Pign  Cds2  Mtfmt  Uqcr10  Acyp2  Gdpd1  Mppe1  Ppcdc  Mgam  Cox7a1  Mgst2  Gpx4  Ak6  Galnt2  Gm3776
0.000700684,12,131,-5.303525991,Spliceosome,http://www.genome.jp/kegg-bin/show_pathway?mmu03040 , Rbm25  Hspa8  Srsf6  Ddx5  Hnrnpk  Srsf7  Tcerg1  Prpf19  Rbmx  Hnrnpc  Srsf3  Hspa1b
0.017117879,6,66,-5.263347763,Long-term potentiation,http://www.genome.jp/kegg-bin/show_pathway?mmu04720 , Braf  Prkaca  Ppp1cb  Ppp3cb  Crebbp  Ep300
0.017835503,6,68,-5.108543417,Renal cell carcinoma,http://www.genome.jp/kegg-bin/show_pathway?mmu05211 , Braf  Arnt  Crebbp  Pik3r3  Ets1  Ep300
0.015580552,8,99,-4.678531345,Prostate cancer,http://www.genome.jp/kegg-bin/show_pathway?mmu05215 , Braf  Crebbp  Pdgfrb  Chuk  Cdk2  Creb3l1  Pik3r3  Ep300
