Enrichment FDR,nGenes,Pathway Genes,Fold Enrichment,Pathway,URL,Genes
0.002328177,5,6,12.86142454,Cysteine-type exopeptidase activity , http://amigo.geneontology.org/amigo/term/GO:0070004, Scrn3  Scrn1  Scrn2  Mindy1  Mindy2
0.018023992,4,6,10.28913963,N-acylsphingosine amidohydrolase activity , http://amigo.geneontology.org/amigo/term/GO:0017040, Asah2  Naaa  Acer3  Asah1
0.018023992,4,6,10.28913963,Ceramidase activity , http://amigo.geneontology.org/amigo/term/GO:0102121, Asah2  Naaa  Acer3  Asah1
0.018023992,5,10,7.716854725,"Racemase and epimerase activity, acting on carbohydrates and derivatives ", http://amigo.geneontology.org/amigo/term/GO:0016857, Gfus  Rpe  Renbp  Glce  Galm
0.018023992,9,34,4.085393678,Disulfide oxidoreductase activity , http://amigo.geneontology.org/amigo/term/GO:0015036, Nxn  Ero1a  Gsto1  Gsto2  Ptges2  Chchd4  Qsox2  Gfer  Sco2
0.00093961,18,78,3.561625258,Carbon-oxygen lyase activity , http://amigo.geneontology.org/amigo/term/GO:0016835, Apip  Pcbd1  Auh  Pcbd2  Xrcc6  Eci1  Car13  Hacd4  Echdc2  Park7  Car6  Ogg1  Car5b  Cyp1a1  Echdc3  Nthl1  Hmga2  Cdyl
0.004925279,14,61,3.542162825,Hydro-lyase activity , http://amigo.geneontology.org/amigo/term/GO:0016836, Apip  Pcbd1  Auh  Pcbd2  Eci1  Car13  Hacd4  Echdc2  Park7  Car6  Car5b  Cyp1a1  Echdc3  Cdyl
0.004925279,16,77,3.207004561,"Hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear", http://amigo.geneontology.org/amigo/term/GO:0016811, Hdac9  Nit1  Pigl  Afmid  Hint3  Hint1  Nit2  Acy1  Asah2  Naaa  Acer3  Asah1  Amdhd2  Tgm2  Sirt5  Pdf
0.012238699,16,85,2.905168838,Ubiquitin binding , http://amigo.geneontology.org/amigo/term/GO:0043130, Fbxo7  Ikbkg  Sqstm1  Uchl3  Faf2  Zfand2b  Nsfl1c  Rbck1  Rad23b  Mvb12a  Wdr48  Cuedc2  Ubxn7  Aup1  Wdr92  Nup62
0.004925279,22,130,2.611858522,"Hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds ", http://amigo.geneontology.org/amigo/term/GO:0016810, Hdac9  Nit1  Pigl  Afmid  Hint3  Adat2  Hint1  Pycrl  Nit2  Acy1  Dpysl3  Asah2  Cda  Naaa  Acer3  Asah1  Amdhd2  Gch1  Tgm2  Sirt5  Pdf  Adat3
0.00093961,29,172,2.602195198,Structural constituent of ribosome , http://amigo.geneontology.org/amigo/term/GO:0003735, Mrpl2  Mrpl4  Mrps24  Mrpl22  Mrps30  Mrpl14  Mrps18b  Mrpl21  Rplp2  Rpl14  Mrps5  Mrpl9  Rps6  Mrpl19  Rsl24d1  Mrps22  Mrpl55  Mrpl47  Mrps35  Rpl37a  Mrpl35  Kxd1  Rpl18  Mrps9  Rps15  Rps28  Dap3  Rps27  Rpl41
